REF_SITE_FROM_ID,REF_SITE_TO_ID,season,INJSVR,DOCTNMBR
1663314,1663229,summer,B,1
1663314,1663229,summer,O,1
1663314,1663229,winter,O,1
1663276,1663358,spring,O,1
1663276,1663358,summer,O,2
1663059,1663352,fall,B,1
1663059,1663352,fall,O,1
1663059,1663352,winter,O,1
1663351,1663352,fall,B,1
1663351,1663352,fall,O,2
1663351,1663352,summer,B,1
1663351,1663352,summer,O,1
1663351,1663352,winter,B,1
1663352,1663355,fall,O,1
1663344,1663374,fall,B,1
1663344,1663374,fall,O,2
1663344,1663374,spring,O,2
1663344,1663374,summer,O,1
1663344,1663374,winter,O,1
1663375,1663292,fall,O,1
1663375,1663292,winter,O,1
1663299,1663377,fall,O,2
1663299,1663377,spring,O,2
1663390,1663314,fall,O,1
1663390,1663314,spring,O,1
1663390,1663314,summer,O,1
1663390,1663314,winter,O,1
1663319,1663395,spring,O,1
1663319,1663395,summer,O,2
1663319,1663395,winter,O,1
1663422,1663390,summer,O,1
1663395,1663422,fall,O,1
1663395,1663422,summer,O,1
1663374,1663430,spring,A,1
1663374,1663430,spring,O,1
1663374,1663430,summer,O,1
1663374,1663430,winter,O,1
1663438,1663361,winter,O,1
1663446,1663449,fall,O,1
1663452,1663450,spring,O,1
1663422,1663455,fall,B,1
1663422,1663455,fall,O,1
1663422,1663455,spring,B,1
1663422,1663455,spring,O,1
1663422,1663455,summer,C,1
1663422,1663455,summer,O,2
1663422,1663455,winter,O,2
1663507,1663422,summer,O,2
1663510,1663498,fall,O,1
1663510,1663498,spring,O,2
1663510,1663498,summer,O,1
1663510,1663498,winter,A,1
1663438,1663515,winter,O,1
1663430,1663515,winter,O,1
1663508,1663553,winter,O,1
1663578,1663577,spring,O,1
1663584,1663581,spring,O,1
1663584,1663581,summer,O,2
1663590,1663587,fall,O,1
1663590,1663587,spring,O,1
1663590,1663587,summer,O,1
1663601,1663507,fall,O,1
1663510,1663665,fall,O,1
1663510,1663665,summer,C,1
1663515,1663661,spring,O,1
1663569,1663739,fall,O,1
1663663,1663737,spring,O,1
1663663,1663737,winter,O,1
1663737,1663675,winter,O,1
1663818,1663652,winter,C,1
1663830,1663777,winter,O,1
1663921,1663366,fall,O,1
1663570,1663873,fall,B,1
1663570,1663873,fall,C,1
1663570,1663873,fall,O,1
1663570,1663873,winter,O,3
10698,1663943,spring,O,1
1663549,1663992,summer,O,1
1663968,1663818,spring,O,1
1663968,1663818,winter,C,1
1663981,1663862,spring,O,2
1663981,1663862,winter,C,1
1663981,1663862,winter,O,1
1663980,1663830,summer,O,1
1663972,1664009,summer,O,1
1663972,1664009,winter,O,1
1664019,1663861,fall,B,1
1664019,1663861,fall,O,1
1664019,1663861,spring,O,2
1664019,1663861,summer,C,1
1664019,1663861,summer,O,1
1664019,1663861,winter,O,2
1664013,1663818,fall,O,1
1664013,1663818,spring,O,1
1664013,1663818,summer,O,2
1664013,1663818,winter,O,1
1664021,1664013,spring,O,1
1664021,1664013,summer,O,1
1664038,1664051,winter,O,1
1664159,1664122,summer,O,1
1664190,1664247,spring,O,1
1664271,1664290,summer,O,1
1664271,1664290,winter,C,1
1664328,1664255,fall,O,2
1664328,1664255,spring,O,1
1664328,1664255,winter,B,1
1663739,1664487,spring,O,1
1663739,1664487,summer,C,1
1663739,1664487,winter,B,1
1663739,1664487,winter,O,1
1663943,1664489,spring,O,3
1664482,1664355,summer,O,1
1664489,1665133,fall,B,1
1665482,1665153,winter,O,1
1663992,1666465,spring,O,1
1663992,1666465,winter,B,1
1666500,1665823,winter,O,1
1666588,1666511,winter,O,1
1666587,1666506,summer,O,2
1666509,1666684,summer,O,1
1666509,1666684,winter,B,1
1666737,1666512,fall,O,1
1666737,1666512,spring,C,1
1667037,1666485,fall,O,2
1667037,1666485,summer,B,1
1667037,1666485,winter,O,1
1667108,1666587,summer,O,1
1667144,1667503,fall,B,1
1667144,1667503,winter,O,1
1667503,1667518,winter,K,1
1667503,1667518,winter,O,1
1667518,1667498,winter,O,1
1668103,1667899,fall,O,1
1668103,1667899,winter,O,1
1661946,10464,fall,O,1
1662510,10523,spring,C,1
1662510,10523,summer,B,1
1662510,10523,summer,O,1
1662510,10523,winter,O,1
1662750,1662510,fall,O,2
1662750,1662510,spring,O,2
1662750,1662510,summer,C,1
1662946,1662750,fall,O,1
1662946,1662750,spring,B,1
1662946,1662750,spring,O,1
1662946,1662750,summer,O,1
1663328,1663329,fall,B,1
