DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,RDWY_LINK_ID,RDWY_LINK_OSET,LINK_HIST_FLAG
02L0Z90C3C,DT4000,1/3/2017,7,DANE,MIDDLETON,T,PP,,,,,ROCKY DELL RD,,,,,PAYVERY TRL,W,0.0688,43.10741594,-89.58178331,TREE,LTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,5157272,363,
02L121PTJP,DT4000,1/3/2017,7,DANE,CROSS PLAINS,T,I,,,,,STAGECOACH RD,,,,,N BIRCH TRL,,0,43.0967268,-89.62069204,OTH FX,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,Y,,5064363,7973,
1KL05BGSFC,DT4000,1/3/2017,7,DANE,MIDDLETON,C,N,,,,,GREENWAY BLVD,,,,,JOHN Q HAMMONS DR,E,0.0441,43.09013936,-89.52378117,MVIT,ON,FTR,U CITY,C,2,3,0,1,0,,,,,,,,,,,,,,,4842406,233,
1KL072BC3C,DT4000,1/3/2017,8,DANE,MIDDLETON,C,I,,,,,CTH M,,,,,ALLEN CT,,0,43.10456008,-89.48684859,MVIT,ON,FTR,U CITY,B,2,2,0,1,0,,,,,,,,,Y,,,,Y,,5064246,845,
02L11S9LVP,DT4000,1/3/2017,10,DANE,CROSS PLAINS,T,N,,,,,BIRCH TRL,,,,,CTH S,N,0.0642,43.06132549,-89.62324884,TREE,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4823838,339,
1KL05T97RC,DT4000,1/4/2017,17,DANE,MIDDLETON,C,I,,,,,ELMWOOD AVE,,,,,PARK ST,,0,43.09613932,-89.50155659,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4841873,1320,
1KL06J8VN1,DT4000,1/4/2017,17,DANE,MIDDLETON,C,PL,,,,,PLEASANT VIEW RD,,,,,FAIRWAY PL,N,0.1771,43.10572228,-89.53609405,PKVEH,ON,UNKN,U CITY,O,2,1,0,0,0,,,,,,,,,,,,,,,5036724,935,
1KL0713B02,DT4000,1/5/2017,13,DANE,MIDDLETON,C,N,,,,,JOHN Q HAMMONS DR,,,,,GREENWAY BLVD,N,0.0222,43.0904508,-89.52466134,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,Y,,,,,,,,4849516,117,
1KL0713B03,DT4000,1/6/2017,9,DANE,MIDDLETON,C,N,,,,,CTH MS,,,,,PARK ST,W,0.0142,43.09707044,-89.50198043,MVIT,ON,FTR,U CITY,O,2,3,0,0,0,,,,,,,Y,,,,,,,,4841788,75,
02L0Z1L4FH,DT4000,1/6/2017,11,DANE,CROSS PLAINS,T,N,,,,,AIRPORT RD,,,,,ENCHANTED VALLEY RD,W,0.2205,43.11374949,-89.60472788,UT PL,RTSH,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,Y,Y,5253202,,
24L08CTJN1,DT4000,1/6/2017,14,DANE,CROSS PLAINS,V,N,14,USH,WB,,,,,,,JOVINA ST,E,0.0225,43.11246691,-89.64706355,MVIT,ON,FTR,R STH,O,2,3,0,0,0,,,,,Y,,,,,,,,,,5314060,119,
1KL05WRB01,DT4000,1/6/2017,17,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,CONNECTOR USH 12 TO USH 14,W,0.0985,43.09669221,-89.52014145,MVIT,ON,SSS,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5488966,434,
1KL05BGSFD,DT4000,1/6/2017,18,DANE,MIDDLETON,C,I,,,,,BRANCH ST,,,,,MAYWOOD AVE,,0,43.10036727,-89.49352392,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4820189,264,
1KL0713B06,DT4000,1/9/2017,18,DANE,MIDDLETON,C,I,,,,,PARK ST,,,,,CTH MS,S,0.0104,43.09692582,-89.50170413,OTH FX,R SIDE,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,Y,Y,4841863,55,
1KL06V55JP,DT4000,1/10/2017,5,DANE,MIDDLETON,C,I,,,,,PLEASANT VIEW RD,,,,,AIRPORT RD,,0,43.1110154,-89.53780329,MVIT,ON,FTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,Y,,5036724,3010,
1KL05WRB04,DT4000,1/10/2017,16,DANE,MIDDLETON,C,N,,,,,LAKEVIEW AVE,,,,,LAKEVIEW BLVD,E,0.0155,43.09511375,-89.49194514,HYDRNT,O ROW,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,Y,Y,,4820620,,
