"roadID","loopNum"
"intersection_19","l9"
"intersection_19","l12"
"intersection_19","l17"
"intersection_19","l20"
"intersection_19","l27"
"intersection_19","l35"
"intersection_19","l40"
"intersection_19","l43"
"intersection_19","l47"
"intersection_20","l11"
"intersection_20","l13"
"intersection_20","l15"
"intersection_20","l24"
"intersection_20","l38"
"intersection_20","l39"
"intersection_20","l42"
"intersection_35","l5"
"intersection_48","l26"
"intersection_50","l26"
"intersection_59","l48"
"intersection_61","l48"
"intersection_64","l36"
"intersection_67","l18"
"intersection_68","l12"
"intersection_74","l28"
"intersection_86","l22"
"intersection_86","l23"
"intersection_87","l6"
"intersection_87","l25"
"intersection_90","l2"
"intersection_90","l7"
"intersection_90","l14"
"intersection_98","l2"
"intersection_98","l7"
"intersection_98","l14"
"intersection_98","l24"
"intersection_99","l7"
"intersection_99","l15"
"intersection_105","l6"
"intersection_107","l44"
"intersection_109","l7"
"intersection_109","l15"
"intersection_125","l28"
"intersection_134","l28"
"4843594","l26"
"intersection_156","l26"
"intersection_170","l49"
"intersection_171","l49"
"intersection_174","l20"
"intersection_175","l28"
"intersection_175","l38"
"intersection_177","l20"
"intersection_178","l28"
"intersection_178","l38"
"intersection_181","l10"
"intersection_189","l8"
"intersection_193","l35"
"intersection_231","l17"
"intersection_231","l35"
"intersection_249","l15"
"intersection_249","l39"
"intersection_260","l35"
"intersection_261","l35"
"intersection_270","l45"
"intersection_272","l3"
"intersection_272","l34"
"intersection_289","l15"
"intersection_289","l39"
"intersection_317","l26"
"intersection_317","l36"
"intersection_321","l12"
"intersection_340","l5"
"intersection_346","l37"
"intersection_354","l20"
"intersection_355","l22"
"intersection_355","l23"
"intersection_357","l19"
"intersection_357","l21"
"intersection_357","l32"
"intersection_357","l44"
"intersection_357","l49"
"intersection_359","l14"
"intersection_365","l35"
"intersection_367","l26"
"intersection_381","l19"
"intersection_381","l27"
"intersection_401","l20"
"4851831","l21"
"intersection_423","l21"
"intersection_424","l3"
"intersection_424","l9"
"intersection_424","l12"
"intersection_424","l17"
"intersection_424","l27"
"intersection_424","l34"
"intersection_424","l35"
"intersection_424","l40"
"intersection_424","l47"
"intersection_432","l10"
"intersection_435","l5"
"intersection_438","l34"
"intersection_439","l34"
"intersection_440","l35"
"intersection_442","l35"
"intersection_449","l37"
"intersection_449","l41"
"intersection_450","l42"
"intersection_454","l29"
"intersection_472","l33"
"intersection_472","l37"
"intersection_473","l22"
"intersection_473","l23"
"intersection_474","l9"
"intersection_474","l16"
"intersection_475","l19"
"intersection_475","l21"
"intersection_475","l32"
"intersection_475","l44"
"intersection_475","l49"
"intersection_476","l4"
"intersection_479","l22"
"intersection_479","l23"
"intersection_495","l4"
"intersection_495","l19"
"intersection_495","l21"
"intersection_495","l32"
"intersection_495","l44"
"intersection_498","l22"
"intersection_498","l23"
"intersection_498","l36"
"intersection_507","l1"
"intersection_515","l11"
"intersection_515","l15"
"intersection_515","l24"
"intersection_515","l39"
"intersection_515","l42"
"4850758","l12"
"4850758","l18"
"4829373","l36"
"intersection_543","l12"
"intersection_543","l18"
"intersection_544","l36"
"intersection_546","l18"
"intersection_546","l37"
"intersection_546","l41"
"intersection_548","l42"
"5516766","l14"
"intersection_558","l14"
"intersection_567","l44"
"intersection_569","l7"
"intersection_569","l15"
"intersection_572","l7"
"intersection_576","l46"
"intersection_581","l46"
"intersection_601","l36"
"intersection_604","l36"
"intersection_609","l24"
"intersection_609","l38"
"intersection_618","l2"
"intersection_618","l7"
"intersection_619","l3"
"intersection_619","l11"
"intersection_619","l34"
"intersection_622","l3"
"intersection_622","l11"
"intersection_622","l34"
"intersection_647","l33"
"5016038","l5"
"intersection_659","l49"
"intersection_684","l30"
"intersection_690","l30"
"intersection_694","l30"
"intersection_696","l2"
"intersection_697","l20"
"intersection_699","l2"
"intersection_699","l28"
"intersection_699","l38"
"intersection_703","l15"
"intersection_708","l8"
"intersection_710","l38"
"intersection_711","l12"
"intersection_711","l50"
"intersection_733","l33"
"intersection_757","l1"
"4840761","l33"
"4840761","l37"
"4819375","l9"
"4819375","l16"
"intersection_775","l16"
"intersection_776","l33"
"intersection_776","l37"
"intersection_777","l9"
"intersection_777","l16"
"intersection_793","l40"
"5314261","l11"
"5314261","l15"
"5314261","l24"
"5314261","l39"
"5314261","l42"
"intersection_805","l28"
"intersection_806","l13"
"intersection_806","l38"
"intersection_809","l11"
"intersection_809","l15"
"intersection_809","l24"
"intersection_809","l39"
"intersection_809","l42"
"intersection_811","l32"
"intersection_812","l9"
"intersection_815","l7"
"intersection_816","l7"
"intersection_816","l14"
"intersection_817","l2"
"intersection_817","l24"
"5519747","l3"
"5519747","l34"
"intersection_819","l34"
"intersection_820","l3"
"intersection_835","l15"
"intersection_839","l47"
"intersection_848","l22"
"intersection_848","l23"
"intersection_858","l4"
"intersection_859","l2"
"intersection_859","l7"
"intersection_859","l24"
"intersection_866","l6"
"intersection_866","l9"
"intersection_866","l12"
"intersection_866","l17"
"intersection_866","l27"
"intersection_866","l35"
"intersection_884","l23"
"intersection_888","l4"
"intersection_896","l19"
"intersection_896","l21"
"intersection_896","l32"
"intersection_896","l44"
"intersection_896","l49"
"intersection_900","l22"
"intersection_900","l23"
"intersection_902","l2"
"intersection_902","l5"
"intersection_902","l7"
"intersection_902","l15"
"intersection_902","l39"
"intersection_908","l1"
"intersection_908","l6"
"intersection_908","l19"
"intersection_908","l25"
