road,loopNum
intersection_87,l175
intersection_87,l176
intersection_87,l178
intersection_87,l179
intersection_87,l180
intersection_87,l181
intersection_87,l185
intersection_87,l186
intersection_87,l187
intersection_87,l188
intersection_87,l189
intersection_87,l190
intersection_87,l191
intersection_87,l192
intersection_87,l193
intersection_87,l194
intersection_87,l407
intersection_87,l408
intersection_87,l409
intersection_87,l410
intersection_87,l416
intersection_87,l424
intersection_87,l437
intersection_87,l442
intersection_87,l443
intersection_87,l449
intersection_87,l451
intersection_87,l455
intersection_87,l459
intersection_87,l467
intersection_87,l477
intersection_87,l478
intersection_87,l482
intersection_87,l489
intersection_95,l407
intersection_133,l167
intersection_133,l172
intersection_133,l177
intersection_133,l178
intersection_133,l179
intersection_133,l180
intersection_133,l181
intersection_133,l182
intersection_133,l184
intersection_133,l185
intersection_133,l186
intersection_133,l187
intersection_133,l188
intersection_133,l189
4843594,l163
4843594,l164
intersection_156,l163
intersection_156,l164
intersection_185,l1
intersection_185,l2
intersection_185,l8
intersection_185,l9
intersection_185,l10
intersection_185,l12
intersection_185,l13
intersection_185,l15
intersection_185,l16
intersection_185,l22
intersection_185,l26
intersection_185,l36
intersection_185,l37
intersection_185,l38
intersection_185,l59
intersection_185,l61
intersection_185,l65
intersection_185,l66
intersection_185,l68
intersection_185,l69
intersection_185,l88
intersection_185,l90
intersection_185,l91
intersection_185,l92
intersection_185,l93
intersection_185,l94
intersection_185,l95
intersection_185,l96
intersection_185,l99
intersection_185,l100
intersection_185,l107
intersection_185,l108
intersection_185,l112
intersection_185,l113
intersection_185,l114
intersection_185,l116
intersection_185,l119
intersection_185,l131
intersection_185,l134
intersection_185,l135
intersection_185,l136
intersection_185,l138
intersection_185,l140
intersection_185,l197
intersection_185,l198
intersection_185,l199
intersection_185,l200
intersection_185,l201
intersection_242,l1
intersection_242,l2
intersection_242,l4
intersection_242,l8
intersection_242,l9
intersection_242,l10
intersection_242,l11
intersection_242,l12
intersection_242,l13
intersection_242,l15
intersection_242,l16
intersection_242,l17
intersection_242,l18
intersection_242,l20
intersection_242,l22
intersection_242,l23
intersection_242,l24
intersection_242,l25
intersection_242,l26
intersection_242,l27
intersection_242,l31
intersection_242,l32
intersection_242,l36
intersection_242,l37
intersection_242,l38
intersection_242,l46
intersection_242,l47
intersection_242,l54
intersection_242,l55
intersection_242,l56
intersection_242,l57
intersection_242,l58
intersection_242,l59
intersection_242,l60
intersection_242,l61
intersection_242,l63
intersection_242,l65
intersection_242,l66
intersection_242,l67
intersection_242,l68
intersection_242,l70
intersection_242,l71
intersection_242,l72
intersection_242,l73
intersection_242,l75
intersection_242,l76
intersection_242,l77
intersection_242,l78
intersection_242,l79
intersection_242,l80
intersection_242,l82
intersection_242,l83
intersection_242,l84
intersection_242,l87
intersection_242,l88
intersection_242,l90
intersection_242,l97
intersection_242,l98
intersection_242,l110
intersection_244,l3
intersection_244,l4
intersection_244,l5
intersection_244,l6
intersection_244,l7
intersection_244,l11
intersection_244,l18
intersection_244,l19
intersection_244,l23
intersection_244,l24
intersection_244,l25
intersection_244,l29
intersection_244,l30
intersection_244,l46
intersection_244,l50
intersection_244,l53
intersection_244,l79
intersection_244,l81
intersection_244,l86
intersection_245,l14
intersection_245,l21
