road,loopNum
intersection_6,l147
intersection_6,l201
intersection_11,l32
intersection_11,l35
intersection_19,l98
intersection_19,l99
intersection_19,l100
intersection_19,l101
intersection_19,l102
intersection_19,l104
intersection_19,l106
intersection_19,l108
intersection_19,l109
intersection_19,l111
intersection_19,l112
intersection_19,l113
intersection_19,l114
intersection_19,l115
intersection_19,l119
intersection_19,l120
intersection_19,l121
intersection_19,l123
intersection_19,l124
intersection_19,l126
intersection_19,l127
intersection_19,l129
intersection_19,l130
intersection_19,l132
intersection_19,l133
intersection_19,l134
intersection_19,l135
intersection_19,l136
intersection_19,l137
intersection_19,l139
intersection_19,l140
intersection_19,l141
intersection_19,l142
intersection_19,l143
intersection_19,l144
intersection_19,l145
intersection_19,l146
intersection_19,l147
intersection_19,l149
intersection_19,l150
intersection_19,l152
intersection_19,l153
intersection_19,l154
intersection_19,l155
intersection_19,l156
intersection_19,l157
intersection_19,l158
intersection_19,l159
intersection_19,l160
intersection_19,l161
intersection_19,l163
intersection_19,l164
intersection_19,l165
intersection_19,l166
intersection_19,l167
intersection_19,l168
intersection_19,l169
intersection_19,l170
intersection_19,l171
intersection_19,l172
intersection_19,l173
intersection_19,l174
intersection_19,l175
intersection_19,l176
intersection_19,l177
intersection_19,l178
intersection_19,l179
intersection_19,l180
intersection_19,l181
intersection_19,l182
intersection_19,l183
intersection_19,l184
intersection_19,l185
intersection_19,l186
intersection_19,l188
intersection_19,l189
intersection_19,l191
intersection_19,l192
intersection_19,l193
intersection_19,l194
intersection_19,l195
intersection_19,l196
intersection_19,l197
intersection_19,l198
intersection_19,l199
intersection_19,l200
intersection_19,l201
intersection_19,l202
intersection_19,l203
intersection_19,l204
intersection_19,l205
intersection_19,l206
intersection_19,l207
intersection_19,l208
intersection_19,l209
intersection_19,l210
intersection_19,l211
intersection_19,l212
intersection_19,l213
intersection_19,l214
intersection_19,l215
intersection_19,l216
intersection_19,l217
intersection_19,l219
intersection_19,l220
intersection_19,l221
intersection_19,l222
intersection_19,l223
intersection_19,l224
intersection_19,l225
intersection_19,l226
intersection_19,l229
intersection_19,l231
intersection_19,l232
intersection_19,l233
intersection_19,l236
intersection_19,l237
intersection_19,l238
intersection_19,l239
intersection_19,l241
intersection_19,l242
intersection_19,l244
intersection_19,l245
intersection_19,l246
intersection_19,l247
intersection_19,l248
intersection_19,l249
intersection_19,l250
intersection_19,l252
intersection_19,l253
intersection_19,l254
intersection_19,l255
intersection_19,l256
intersection_19,l257
intersection_19,l259
intersection_19,l260
intersection_19,l261
intersection_19,l263
intersection_19,l264
intersection_19,l265
intersection_19,l266
intersection_19,l267
intersection_19,l270
intersection_19,l271
intersection_19,l272
intersection_19,l273
intersection_19,l274
intersection_19,l275
intersection_19,l277
intersection_19,l278
intersection_19,l279
intersection_19,l280
intersection_19,l282
intersection_19,l283
intersection_19,l284
intersection_19,l285
intersection_19,l286
intersection_19,l287
intersection_19,l288
intersection_19,l289
intersection_19,l291
intersection_19,l292
intersection_19,l293
intersection_19,l294
intersection_19,l295
intersection_19,l296
intersection_19,l297
intersection_19,l299
intersection_19,l300
intersection_19,l301
intersection_19,l302
intersection_19,l303
intersection_19,l304
intersection_19,l305
intersection_19,l306
intersection_19,l307
intersection_19,l308
intersection_19,l309
intersection_19,l310
intersection_19,l311
intersection_19,l312
intersection_19,l313
intersection_19,l314
intersection_19,l316
intersection_19,l317
intersection_19,l319
intersection_19,l320
intersection_19,l321
intersection_19,l323
intersection_19,l324
intersection_19,l326
intersection_19,l327
intersection_19,l328
intersection_19,l329
intersection_19,l330
intersection_19,l331
intersection_19,l332
intersection_19,l333
intersection_19,l334
intersection_19,l335
intersection_19,l336
intersection_19,l337
intersection_19,l338
intersection_19,l339
intersection_19,l340
intersection_19,l341
intersection_19,l342
intersection_19,l343
intersection_19,l344
intersection_19,l345
intersection_19,l346
intersection_19,l347
intersection_19,l348
intersection_19,l349
intersection_19,l350
intersection_19,l351
intersection_19,l352
intersection_19,l353
intersection_19,l354
intersection_19,l355
intersection_19,l356
intersection_19,l357
intersection_19,l358
intersection_19,l359
intersection_19,l360
intersection_19,l362
intersection_19,l363
intersection_19,l364
intersection_19,l365
intersection_19,l366
intersection_19,l367
intersection_19,l368
intersection_19,l369
intersection_19,l370
intersection_19,l371
intersection_19,l372
intersection_19,l373
intersection_19,l374
intersection_19,l375
intersection_19,l376
intersection_19,l377
intersection_19,l378
intersection_19,l379
intersection_19,l380
intersection_19,l381
intersection_19,l383
intersection_19,l384
intersection_19,l385
intersection_19,l386
intersection_19,l387
intersection_19,l388
intersection_19,l389
intersection_19,l390
intersection_19,l391
intersection_19,l393
intersection_19,l394
intersection_19,l395
intersection_19,l396
intersection_19,l397
intersection_19,l398
intersection_19,l399
intersection_19,l401
intersection_19,l403
intersection_19,l404
intersection_19,l405
intersection_19,l406
intersection_19,l407
intersection_19,l408
intersection_19,l409
intersection_19,l410
intersection_19,l411
intersection_19,l412
intersection_19,l413
intersection_19,l414
intersection_19,l416
intersection_19,l417
intersection_19,l418
intersection_19,l419
intersection_19,l420
intersection_19,l421
intersection_19,l422
intersection_19,l423
intersection_19,l424
intersection_19,l425
intersection_19,l426
intersection_19,l427
intersection_19,l428
intersection_19,l429
intersection_19,l430
intersection_19,l431
intersection_19,l432
intersection_19,l433
intersection_19,l435
intersection_19,l436
intersection_19,l437
intersection_19,l438
intersection_19,l439
intersection_19,l440
