DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL07TS27B,DT4000,12/27/2018,17,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,CAYUGA ST,N,0.1352,43.09851393,-89.5136476,TFSIGN,ON,NO,U STH,O,1,2,0,0,0,,,,,,,,,,,,,Y,Y,5314701,724,,USH,25
1KL07BZM06,DT4000,12/28/2018,19,DANE,MIDDLETON,C,N,,,,,FRANK LLOYD WRIGHT AVE,,,,,BLACK CHERRY LN,W,0.0496,43.10907092,-89.4987456,CURB,ON,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,5016027,257,,,25
1KL07SK147,DT4000,12/29/2018,11,DANE,MIDDLETON,C,PL,MS,CTH,WB,,UNIVERSITY AVE,,,,,LAKEVIEW AVE,W,0.014,43.09457304,-89.49294043,PKVEH,PARK,NO,U CITY,O,2,1,0,0,0,UNKN,,,,,,,UNKN,,,,,,,4842007,74,,CTH,
02L0Z1L4RF,DT4000,12/31/2018,16,DANE,CROSS PLAINS,T,N,P,CTH,SB,,,J,CTH,SB,,,S,0.2078,43.04329086,-89.65641104,MAILBOX,ON,NO,R CTH,O,1,2,0,0,0,,,,,,,,,,,,,,Y,4846933,4020,,CTH,55
02L0Z90C53,DT4000,12/31/2018,16,DANE,MIDDLETON,T,PP,S,CTH,EB,,,,,,,PIONEER RD,W,0.32,43.06022113,-89.57806052,DITCH,OFF,NO,R CTH,O,1,2,0,0,0,,,,,,,,,,,,,Y,,5355365,1996,,CTH,45
02L0Z90C54,DT4000,12/31/2018,16,DANE,MIDDLETON,T,I,,,,,TOEPFER RD,,,,,AIRPORT RD,,0,43.11097194,-89.59264531,TFSIGN,OFF,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4819529,1337,,,45
02L0Z1L4RK,DT4000,12/31/2018,17,DANE,CROSS PLAINS,T,N,,,,,BARLOW RD,,,,,OBSERVATORY RD,S,0.92,43.07631926,-89.68028826,OVRTRN,R SIDE,NO,R TOWN,B,1,1,0,1,0,,,,,,,,,Y,,,,,,4823740,4590,,,55
02L121PTL3,DT4000,12/31/2018,17,DANE,CROSS PLAINS,T,N,,,,,GARFOOT RD,KP,CTH,NB,,,S,0.1737,43.10927598,-89.67972696,DITCH,GORE,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4841979,917,,,55
02L0XWW1C0,DT4000,1/1/2019,21,DANE,CROSS PLAINS,T,N,14,USH,WB,,,,,,,CLEVELAND RD,E,0.1303,43.09343184,-89.60291735,DITCH,R SIDE,NO,R STH,O,1,1,0,0,0,,,,,,,,,,,,,,,5455237,688,,USH,55
1KL07TS27C,DT4000,1/2/2019,14,DANE,MIDDLETON,C,I,14,USH,WB,,,12,USH,EB,,,W,0.0706,43.09682116,-89.51810677,MVIT,ON,FTS,U STH,C,2,2,0,2,0,,,,,,,,,,,,,,,4827343,0,,USH,35
1KL06SX4JT,DT4000,1/3/2019,6,DANE,MIDDLETON,C,N,14,USH,EB,,,12,USH,EB,,,S,0.0292,43.09639353,-89.5171371,CONC B,ON,NO,U STH,O,1,1,0,0,0,,,,,,,,,,,,,,,5314647,302,,USH,55
02L0Z6J98L,DT4000,1/3/2019,9,DANE,CROSS PLAINS,T,I,,,,,OLD MILITARY RD,,,,,COYLE LN,S,0.0133,43.05412144,-89.62605126,MVIT,ON,FTF,R TOWN,O,2,2,0,0,0,,,,,,,,,,,,,Y,,4827420,70,,,55
02L0Z90C55,DT4000,1/3/2019,19,DANE,MIDDLETON,T,I,,,,,CARIBOU CT,S,CTH,WB,,,S,0.0009,43.06022366,-89.5955756,MVIT,ON,SSS,R TOWN,O,2,3,0,0,0,UNKN,,,,,,,UNKN,,,,Y,,,4823917,305,,,45
1KL07BZM09,DT4000,1/4/2019,17,DANE,MIDDLETON,C,N,,,,,PARMENTER ST (2),,,,,DISCOVERY DR,S,0.0239,43.10209283,-89.51198266,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,5120284,27,,,15
1KL07W13BG,DT4000,1/5/2019,12,DANE,MIDDLETON,C,N,14,USH,WB,,,,,,,MURPHY DR,S,0.1797,43.09690203,-89.5219782,MVIT,ON,FTR,U STH,C,2,4,0,1,0,,,,,,,Y,,,,,,,Y,5488964,72,,USH,45
02L0Z1L4RG,DT4000,1/5/2019,17,DANE,CROSS PLAINS,T,N,,,,,MINERAL POINT RD W (2),,,,,GARFOOT RD,W,0.53,43.05831506,-89.71003399,TREE,R SIDE,NO,R TOWN,O,1,1,0,0,0,,,,,,,,,,,,,,,4858657,3377,,,55
02L0Z1L4RJ,DT4000,1/6/2019,14,DANE,MIDDLETON,T,I,14,USH,WB,,,,,,,SCHWARTZ RD,,0,43.09600453,-89.54523335,MVIT,ON,FTR,R STH,O,2,4,0,0,0,,,,,,,Y,,,,,,,,5314201,0,,USH,55
1KL07FFP47,DT4000,1/6/2019,15,DANE,MIDDLETON,C,I,MS,CTH,EB,,UNIVERSITY AVE,,,,,PARMENTER ST (1),,0,43.09684873,-89.51153003,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,4841808,331,,CTH,30
1KL07LCTKQ,DT4000,1/9/2019,8,DANE,MIDDLETON,C,N,MS,CTH,WB,,UNIVERSITY AVE,,,,,PARMENTER ST (1),E,0.0722,43.09689365,-89.51009927,MVIT,ON,FTR,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4841808,381,,CTH,30
1KL07W13BH,DT4000,1/9/2019,14,DANE,MIDDLETON,C,N,,,,,HUBBARD AVE,,,,,MIDDLETON ST,W,0.0784,43.09528163,-89.50989148,MVIT,ON,SSS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,,4820580,454,,,25
1KL079QKWX,DT4000,1/10/2019,8,DANE,MIDDLETON,C,N,M,CTH,EB,,CENTURY AVE,,,,,VALLEY RIDGE RD,,0,43.11046616,-89.47463927,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,Y,4819565,0,,CTH,35
