intersection_1,1662351_2,1662351_3
intersection_2,1662351_2,1662351_1
intersection_3,1662351_3,1662351_1
intersection_4,1662351_3,1662351_2
intersection_5,1662351_1,1662351_3
intersection_6,1662351_1,1662351_2
intersection_7,1661670_1,1661670_2
intersection_8,1661670_1,1661670_3
intersection_9,1661670_2,1661670_3
intersection_10,1661670_2,1661670_1
intersection_11,1661670_3,1661670_2
intersection_12,1661670_3,1661670_1
intersection_13,1665732_1,1665732_3
intersection_14,1665732_1,1665732_2
intersection_15,1665732_3,1665732_2
intersection_16,1665732_3,1665732_1
intersection_17,1665732_2,1665732_3
intersection_18,1665732_2,1665732_1
intersection_19,2272854_1,2272854_2
intersection_20,2272854_1,2272854_3
intersection_21,2272854_2,2272854_1
intersection_22,2272854_2,2272854_3
intersection_23,2272854_3,2272854_1
intersection_24,2272854_3,2272854_2
intersection_25,1662252_2,1662252_1
intersection_26,1662252_2,1662252_3
intersection_27,1662252_2,1662252_5
intersection_28,1662252_2,1662252_4
intersection_29,1662252_3,1662252_1
intersection_30,1662252_3,1662252_2
intersection_31,1662252_3,1662252_5
intersection_32,1662252_3,1662252_4
intersection_33,1662252_1,1662252_2
intersection_34,1662252_1,1662252_3
intersection_35,1662252_1,1662252_5
intersection_36,1662252_1,1662252_4
intersection_37,1662252_5,1662252_1
intersection_38,1662252_5,1662252_2
intersection_39,1662252_5,1662252_3
intersection_40,1662252_5,1662252_4
intersection_41,1662252_4,1662252_1
intersection_42,1662252_4,1662252_2
intersection_43,1662252_4,1662252_3
intersection_44,1662252_4,1662252_5
intersection_45,2243561_2,2243561_3
intersection_46,2243561_2,2243561_1
intersection_47,2243561_3,2243561_2
intersection_48,2243561_3,2243561_1
intersection_49,2243561_1,2243561_2
intersection_50,2243561_1,2243561_3
intersection_51,1662732_1,1662732_2
intersection_52,1662732_1,1662732_3
intersection_53,1662732_3,1662732_2
intersection_54,1662732_3,1662732_1
intersection_55,1662732_2,1662732_1
intersection_56,1662732_2,1662732_3
intersection_57,1677464_1,1677464_2
intersection_58,1677464_1,1677464_3
intersection_59,1677464_2,1677464_1
intersection_60,1677464_2,1677464_3
intersection_61,1677464_3,1677464_1
intersection_62,1677464_3,1677464_2
intersection_63,1667179_3,1667179_2
intersection_64,1667179_3,1667179_1
intersection_65,1667179_1,1667179_2
intersection_66,1667179_1,1667179_3
intersection_67,1667179_2,1667179_3
intersection_68,1667179_2,1667179_1
intersection_69,1661952_1,1661952_2
intersection_70,1661952_1,1661952_3
intersection_71,1661952_2,1661952_3
intersection_72,1661952_2,1661952_1
intersection_73,1661952_3,1661952_2
intersection_74,1661952_3,1661952_1
intersection_75,1664013_2,1664013_1
intersection_76,1664013_2,1664013_3
intersection_77,1664013_3,1664013_1
intersection_78,1664013_3,1664013_2
intersection_79,1664013_1,1664013_2
intersection_80,1664013_1,1664013_3
intersection_81,1662437_3,1662437_1
intersection_82,1662437_3,1662437_2
intersection_83,1662437_1,1662437_2
intersection_84,1662437_1,1662437_3
intersection_85,1662437_2,1662437_1
intersection_86,1662437_2,1662437_3
intersection_87,2008367_3,2008367_2
intersection_88,2008367_3,2008367_1
intersection_89,2008367_2,2008367_3
intersection_90,2008367_2,2008367_1
intersection_91,2008367_1,2008367_3
intersection_92,2008367_1,2008367_2
intersection_93,1663297_1,1663297_2
intersection_94,1663297_1,1663297_3
intersection_95,1663297_2,1663297_3
intersection_96,1663297_2,1663297_1
intersection_97,1663297_3,1663297_2
intersection_98,1663297_3,1663297_1
intersection_99,1662453_4,1662453_3
intersection_100,1662453_4,1662453_2
intersection_101,1662453_4,1662453_1
intersection_102,1662453_1,1662453_3
intersection_103,1662453_1,1662453_2
intersection_104,1662453_1,1662453_4
intersection_105,1662453_3,1662453_2
intersection_106,1662453_3,1662453_4
intersection_107,1662453_3,1662453_1
intersection_108,1662453_2,1662453_3
intersection_109,1662453_2,1662453_4
intersection_110,1662453_2,1662453_1
intersection_111,1662280_4,1662280_1
intersection_112,1662280_4,1662280_3
intersection_113,1662280_4,1662280_2
intersection_114,1662280_1,1662280_4
intersection_115,1662280_1,1662280_3
intersection_116,1662280_1,1662280_2
intersection_117,1662280_3,1662280_4
