,FROM,TO,CRASH
232,1662536,1662569,1
233,1662589,1662521,0
234,1662563,1662589,0
235,1662589,1662596,0
236,1662453,1662596,1
237,1662439,1662582,0
238,1662407,1662409,0
239,1662555,1662682,0
240,1662653,1662556,0
241,1662604,1662591,0
242,1662569,1662604,1
243,1662563,1662625,0
244,1662582,1662631,0
245,1662635,1662699,0
246,1662556,1662672,0
247,1662699,1662722,0
248,1662707,1662674,0
249,1662710,1662709,0
250,1662707,1662710,0
251,1662713,1662707,0
252,1662653,1662691,0
253,1662679,1662589,0
254,1662534,1662701,0
255,1662604,1662681,0
256,1662565,1662736,0
257,1662701,1662696,0
258,1662625,1662694,0
259,1662694,1662679,0
260,1662721,1662653,0
261,1662698,1662694,0
262,1662509,1662715,21
263,1662701,1662734,0
264,1662596,1662731,0
265,1662679,1662732,0
266,1662731,1662732,0
267,1662735,1662731,1
268,1662453,1662735,1
269,1662725,1662728,0
270,1662681,1662728,0
271,1662750,1662735,0
272,1662728,1662738,0
273,1662681,1662738,0
274,1662764,1662721,0
275,1662752,1662715,4
276,1662514,1662755,1
277,1662694,1662753,1
278,1662732,1662753,2
279,1662738,1662749,0
280,1662704,1662749,0
281,1662704,1662751,2
282,1662751,1662638,0
283,1662756,1662698,0
284,1662753,1662756,1
285,1662756,1662752,1
286,1662749,1662769,0
287,1662728,1662771,0
288,1662722,1662823,1
289,1662734,1662764,0
290,1662710,1662815,0
291,1662715,1662794,10
292,1662806,1662764,0
293,1662755,1662812,0
294,1662826,1662778,0
295,1662381,1662826,3
296,1662752,1662816,1
297,1662734,1662839,1
298,1662794,1662835,30
299,1662837,1662813,6
300,1662843,1662837,0
301,1662835,1662843,14
302,1662899,1662860,0
303,1662902,1662899,0
304,1662813,1662887,12
305,1662899,1662901,0
306,1662914,1662835,8
307,1662914,1662922,0
308,1662843,1662933,4
309,1662922,1662933,1
310,1662964,1662902,3
311,1662933,1662944,1
312,1662942,1662957,0
313,1662961,1662914,0
314,1662961,1662942,1
315,1662957,1662967,0
316,1662943,1662967,0
317,1663012,1662909,1
318,1663012,1663013,0
319,1663014,1663012,3
320,1663014,2034247,4
321,1663010,1662961,0
322,1663062,1662707,0
323,1663010,1663032,1
324,1662967,1663032,1
325,1663086,1662975,0
326,1663062,1663086,0
327,1662887,1663059,3
328,1663072,1663010,5
329,1663076,1663079,2
330,1662945,1663079,2
331,1663032,1663078,0
332,1663078,1663076,0
333,1663072,1663081,2
334,1663081,1663078,0
335,1663083,1663072,2
336,1662933,1663090,2
337,1663090,1663083,0
338,1663059,1663090,6
339,1663106,1663014,2
340,1663081,1663133,0
341,1663139,1663076,0
342,1663144,1663139,3
343,1663079,1663144,2
344,1663078,1663143,0
345,1663139,1663143,0
346,1663149,1663144,2
347,1663079,1663149,12
348,1663133,1663151,0
349,1663160,1663012,1
350,1663164,1663160,0
351,1663164,1663106,1
352,1663126,1663162,0
353,1663133,1663162,0
354,1663180,1662964,2
355,1663210,1662899,1
