,FROM,TO,TIME
0,1661200,1660820,122.29542020994374
1,1661678,1661705,5.76519220941457
2,1661704,1661705,9.632979387882573
3,1661723,1661697,21.199852364999145
4,1661705,1661723,9.632979387882573
5,1661705,1661739,7.699085798648571
6,1661754,1661704,21.199852364999145
7,1661754,1661746,9.632979387882573
8,1661704,1661767,17.332065186531143
9,1661723,1661768,15.398171597297141
10,1661769,1661768,9.632979387882573
11,1661767,1661769,11.566872977116574
12,1661794,1661754,11.566872977116574
13,1661794,1661795,5.76519220941457
14,1661805,1661746,16.261646036339563
15,1661834,1661794,15.398171597297141
16,1661767,1661834,32.76672534211572
17,1661836,1661774,26.965044574413714
18,1661867,1661836,7.699085798648571
19,1661868,1661867,13.500766566350574
20,1661825,1661869,13.500766566350574
21,1661869,1661868,17.332065186531143
22,1661880,1661869,19.265958775765146
23,10464,1661744,27.142857142857142
24,1661884,1661805,29.56
25,1661884,1661880,21.127820418426023
26,1661768,1661878,32.76672534211572
27,1661887,1661805,29.56
28,1661887,1661884,14.629321718297902
29,1661882,1661769,32.76672534211572
30,1661886,1661834,11.566872977116574
31,1661886,1661887,11.395471654253102
32,1661882,1661886,16.261646036339563
33,1661851,1661837,9.632979387882573
34,1661851,1661838,21.199852364999145
35,1661936,1661868,11.566872977116574
36,1661936,1661939,13.500766566350574
37,1661939,1661867,13.500766566350574
38,1661869,1661942,9.632979387882573
39,1661942,1661936,19.265958775765146
40,1661838,1661879,9.632979387882573
41,1661908,1661906,1.9338935892340012
42,1661942,1661950,1.9338935892340012
43,1661880,1661959,21.127820418426023
44,1661959,1661950,15.398171597297141
45,1661904,1661851,9.632979387882573
46,1661907,1661904,9.632979387882573
47,1661952,1661940,34.664130373062285
48,1661801,1661952,59.73176991652944
49,1661993,1661951,7.699085798648571
50,1661908,1661946,65.71782964355494
51,1661945,1661908,7.294298818932188
52,1662004,1661936,11.566872977116574
53,1661950,1662004,26.965044574413714
54,1661965,1661945,31.04398265119007
55,1662019,1661927,19.265958775765146
56,1661966,1661970,5.462081580053487
57,1661970,1661965,5.462081580053487
58,1662023,1662019,5.76519220941457
59,1661969,1661904,17.332065186531143
60,1662036,1661993,13.500766566350574
61,1661978,1661974,11.566872977116574
62,1661974,1661977,5.76519220941457
63,1661984,1661978,9.632979387882573
64,1661974,1661984,65.49696212594401
65,1661879,1661988,19.265958775765146
66,1661988,1661987,3.8677871784680025
67,1662008,1661997,17.332065186531143
68,1661945,1662008,11.566872977116574
69,1662004,1662055,19.265958775765146
70,1662055,1662053,17.332065186531143
71,1661970,1662011,7.699085798648571
72,1662000,1661984,7.699085798648571
73,1662001,1662000,8.44
74,1662003,1662001,6.0285714285714285
75,1661907,1662003,14.28684815536726
76,1662070,1662023,9.632979387882573
77,1662062,1661940,25.031150985179714
78,1661952,1662062,48.16489693941286
79,1662075,1662070,11.566872977116574
80,1662068,1662016,15.398171597297141
81,1662042,1661969,15.398171597297141
82,1662040,1662042,11.566872977116574
83,1662044,1662040,11.566872977116574
84,1661988,1662044,13.500766566350574
85,1662055,1662096,13.500766566350574
86,1662093,1662096,21.199852364999145
87,1662096,1662098,7.699085798648571
88,1662098,1661939,34.664130373062285
89,1662118,1661897,46.23100335017886
90,1662117,1662057,13.500766566350574
91,1662118,1662117,11.566872977116574
92,1662119,1662054,13.500766566350574
93,1662117,1662119,11.566872977116574
94,1662066,1661965,30.832831752881717
95,1662113,1661993,28.898938163647717
96,1661940,1662068,65.49696212594401
97,1662129,1662039,17.332065186531143
98,1662119,1662129,11.566872977116574
99,1662129,1662138,13.500766566350574
100,1662141,1662091,9.632979387882573
101,1662141,1662113,7.699085798648571
102,1662149,1662070,13.500766566350574
103,1662138,1662149,11.566872977116574
104,1662147,1662113,13.500766566350574
105,1662008,1662088,15.398171597297141
106,1662088,1662090,13.500766566350574
107,1662154,1662075,15.398171597297141
108,1662149,1662154,11.566872977116574
109,1662085,1662042,11.566872977116574
110,1662176,1661793,95.29599227426364
111,1661969,1662085,52.03268411788086
112,1662121,10503,8.44
113,1661949,1662145,40.46581114076429
114,1662164,1662132,13.500766566350574
115,1662154,1662164,5.76519220941457
116,1662161,1662098,11.566872977116574
117,1662093,1662165,11.395471654253102
118,1662161,1662165,15.398171597297141
119,1662178,1662118,11.566872977116574
120,1662179,1662117,11.566872977116574
121,1662179,1662178,10.566666666666666
122,1662181,1662119,11.566872977116574
123,1662181,1662179,10.566666666666666
124,1662183,1662129,11.566872977116574
125,1662183,1662181,11.566872977116574
126,1662148,1662088,9.632979387882573
127,1662138,1662192,11.566872977116574
128,1662192,1662183,10.566666666666666
129,1662085,1662139,11.566872977116574
130,1662201,1662149,11.566872977116574
131,1662068,1662185,44.297109760944856
132,1662187,1662062,25.031150985179714
133,1662185,1662187,21.199852364999145
134,1662206,1662181,7.699085798648571
135,1662209,1662154,10.56
136,1662208,1662132,25.031150985179714
137,1662139,1662166,9.632979387882573
138,1662044,1662166,25.031150985179714
139,1662225,1662164,11.566872977116574
140,1662186,1662090,17.332065186531143
141,1662191,1662186,11.566872977116574
142,1662239,1662208,9.632979387882573
143,1662164,1662239,25.36
144,1662244,1662161,34.664130373062285
145,1662251,1662239,5.76519220941457
146,1662165,1662252,21.127820418426023
147,1662252,1662161,21.199852364999145
148,1662224,1662186,7.699085798648571
149,1662090,1662224,28.898938163647717
150,1662220,1662217,32.76672534211572
151,1662166,1662220,11.566872977116574
152,1662187,1662270,30.832831752881717
153,1662270,1662246,19.265958775765146
154,10503,1662309,27.37954817343267
155,1662185,1662281,23.13374595423315
