WISLR_LINKID,functional_class
4841109,Urban Local
4841110,Urban Local
4841111,Urban Local
4841116,Urban Local
4841128,Urban Local
4841129,Urban Local
4841130,Urban Local
4841131,Urban Local
4841133,Urban Local
4841134,Urban Local
4841137,Urban Local
4841140,Rural Local
4841143,Rural Local
4841144,Rural Local
4841148,Rural Local
4841150,Urban Local
4841153,Urban Local
4841161,Urban Local
4841162,Urban Local
4841184,Urban Local
4841185,Urban Local
4841202,Urban Collector
4841203,Urban Local
4841207,Urban Local
4841209,Urban Local
4841223,Urban Other Connecting Link Principal Arterial
4841227,Urban Local
4841236,Urban Local
4841237,Urban Local
4841238,Urban Collector
4841241,Urban Collector
4841242,Urban Local
4841243,Urban Local
4841244,Urban Local
4841250,Urban Collector
4841251,Urban Local
4841252,Urban Local
4841254,Urban Local
4841255,Urban Collector
4841257,Urban Collector
4841258,Urban Collector
4841259,Urban Collector
4841260,Urban Local
4841261,Urban Local
4841262,Urban Other Connecting Link Principal Arterial
4841263,Urban Local
4841264,Urban Local
4841265,Urban Collector
4841266,Urban Collector
4841288,Urban Local
4841290,Urban Local
4841294,Urban Local
4841295,Urban Local
4841311,Rural Local
4841315,Urban Other Connecting Link Principal Arterial
4841320,Urban Local
4841329,Urban Local
4841333,Urban Local
4841334,Urban Local
4841348,Urban Local
4841350,Urban Local
4841355,Urban Other Connecting Link Principal Arterial
4841358,Urban Other Connecting Link Principal Arterial
4841362,Urban Other Connecting Link Principal Arterial
4841363,Urban Other Connecting Link Principal Arterial
4841416,Urban Local
4841417,Urban Local
4841419,Urban Other Connecting Link Principal Arterial
4841420,Urban Local
4841436,Urban Collector
4841443,Urban Local
4841461,Urban Local
4841462,Urban Local
4841469,Urban Minor Arterial
4841470,Urban Local
4841472,Urban Local
4841476,Urban Collector
4841477,Urban Local
4841481,Urban Local
4841482,Urban Local
4841520,Urban Local
4841521,Urban Local
4841522,Urban Local
4841523,Urban Minor Arterial
4841525,Urban Collector
4841527,Rural Local
4841534,Urban Local
4841535,Urban Local
4841538,Rural Local
4841539,Rural Local
4841566,Urban Other Connecting Link Principal Arterial
4841575,Urban Collector
4841579,Urban Collector
4841580,Urban Collector
4841582,Urban Local
4841583,Urban Collector
4841584,Urban Collector
4841586,Urban Collector
4841587,Urban Collector
4841588,Urban Local
4841589,Urban Collector
4841590,Urban Collector
4841597,Urban Minor Arterial
4841632,Urban Local
4841633,Urban Local
4841637,Urban Local
4841638,Urban Collector
4841640,Urban Local
4841641,Urban Local
4841642,Urban Local
4841643,Urban Local
4841648,Urban Local
4841651,Urban Local
4841652,Urban Local
4841653,Urban Minor Arterial
4841658,Urban Local
4841659,Urban Local
4841661,Urban Local
4841692,Urban Local
4841696,Urban Collector
4841701,Urban Local
4841703,Urban Local
4841704,Urban Collector
4841705,Urban Local
4841712,Urban Local
4841713,Urban Local
4841714,Urban Local
4841715,Urban Local
4841716,Urban Local
4841717,Urban Local
4841719,Urban Local
4841720,Urban Local
4841722,Urban Local
4841723,Urban Minor Arterial
4841734,Urban Collector
4841735,Urban Local
4841761,Rural Local
4841769,Rural Minor Arterial
4841785,Urban Local
4841786,Urban Local
4841788,Urban Other Connecting Link Principal Arterial
4841789,Urban Collector
4841790,Urban Other Connecting Link Principal Arterial
4841791,Urban Other Connecting Link Principal Arterial
4841792,Urban Other Connecting Link Principal Arterial
4841793,Urban Local
4841796,Urban Other Connecting Link Principal Arterial
4841797,Urban Local
4841805,Rural Local
4841808,Urban Other Connecting Link Principal Arterial
4841809,Urban Minor Arterial
4841812,Urban Other Connecting Link Principal Arterial
4841813,Urban Other Connecting Link Principal Arterial
4841838,Urban Minor Arterial
4841849,Urban Other Connecting Link Principal Arterial
4841850,Urban Collector
4841853,Urban Collector
4841857,Urban Local
4841858,Urban Local
4841863,Urban Minor Arterial
4841866,Urban Collector
4841867,Urban Other Connecting Link Principal Arterial
4841870,Urban Local
4841871,Urban Collector
4841873,Urban Collector
4841874,Urban Local
4841877,Urban Collector
4841878,Urban Local
4841879,Urban Collector
4841880,Urban Collector
4841883,Urban Collector
4841884,Urban Local
4841919,Urban Local
4841920,Urban Local
4841929,Urban Other Connecting Link Principal Arterial
4841934,Urban Local
4841936,Urban Local
4841937,Urban Local
4841938,Urban Minor Arterial
4841941,Urban Other Connecting Link Principal Arterial
4841942,Urban Local
4841944,Urban Local
4841953,Urban Local
4841956,Urban Local
4841957,Urban Local
4841963,Urban Local
4841964,Urban Local
4841965,Urban Local
4841966,Urban Local
4841967,Urban Local
4841979,Rural Local
4841982,Urban Local
4841994,Urban Local
4841995,Urban Local
4841997,Urban Local
4841998,Urban Local
4842003,Urban Collector
4842004,Urban Collector
4842006,Urban Local
4842007,Urban Other Connecting Link Principal Arterial
4842054,Urban Local
4842055,Urban Local
4842063,Urban Local
4842094,Urban Other Connecting Link Principal Arterial
4842098,Urban Local
4842099,Urban Local
4842100,Urban Local
4842101,Urban Local
4842102,Urban Local
4842109,Urban Local
4842110,Urban Minor Arterial
4842117,Urban Local
4842118,Urban Local
4842119,Urban Local
4842123,Urban Local
4842124,Urban Local
4842131,Urban Local
4842132,Urban Local
4842142,Urban Local
4842172,Urban Local
4842177,Urban Minor Arterial
4842186,Urban Collector
4842187,Urban Local
4842188,Urban Local
4842190,Urban Other Connecting Link Principal Arterial
4842195,Urban Local
4842207,Urban Local
4842212,Urban Local
4842213,Urban Local
4842225,Urban Collector
4842245,Rural Local
4842258,Urban Local
4842259,Urban Local
4842262,Urban Collector
4842281,Urban Local
4842282,Urban Local
4842285,Urban Local
4842288,Urban Local
4842289,Urban Local
4842291,Urban Local
4842301,Urban Local
4842302,Urban Local
4842321,Urban Local
4842322,Urban Local
4842323,Rural Local
4842339,Rural Local
4842359,Urban Local
4842360,Urban Minor Arterial
4842361,Urban Local
4842362,Urban Local
4842368,Urban Local
4842382,Urban Local
4842396,Urban Collector
4842399,Urban Local
4842400,Urban Collector
4842401,Urban Collector
4842402,Urban Local
4842403,Urban Local
4842404,Urban Local
4842405,Rural Local
4842406,Urban Minor Arterial
4842407,Urban Local
4842408,Urban Minor Arterial
4842418,Urban Local
4842421,Urban Local
4842427,Urban Local
4842440,Rural Local
4842445,Urban Local
4842446,Urban Other Connecting Link Principal Arterial
4842456,Rural Local
4842486,Urban Collector
4842489,Urban Collector
4842492,Urban Local
4842493,Urban Collector
4842494,Rural Local
4842498,Rural Local
4842513,Urban Local
4842514,Urban Local
4842542,Urban Local
4842543,Urban Collector
4842551,Urban Local
4842563,Urban Collector
4842567,Urban Local
4842573,Urban Local
4842574,Urban Local
4842575,Urban Collector
4842578,Urban Collector
4842592,Urban Collector
4842593,Urban Collector
4842594,Urban Collector
4842595,Urban Local
4842599,Urban Minor Arterial
4842600,Urban Local
4842609,Urban Local
4842610,Urban Collector
4842619,Urban Local
4842638,Urban Collector
4842653,Urban Collector
4842654,Urban Local
4842655,Urban Local
4842660,Urban Local
4842661,Urban Local
4842662,Urban Collector
4842663,Urban Local
4842666,Urban Local
4842673,Urban Local
4842676,Urban Local
4842699,Rural Local
4842702,Rural Local
4842706,Urban Local
4842709,Urban Local
4842710,Urban Local
4842725,Urban Collector
4842726,Urban Local
4842727,Urban Local
4842730,Urban Collector
4842733,Urban Local
4842734,Urban Local
4842742,Urban Local
4842745,Urban Local
4842746,Urban Collector
4842747,Urban Local
4842748,Urban Local
4842753,Urban Local
4842760,Urban Local
4842773,Urban Local
4842776,Urban Collector
4842781,Urban Local
4842782,Urban Collector
4842783,Urban Local
4842796,Urban Local
4842799,Urban Local
4842802,Urban Local
4842803,Urban Local
4842804,Urban Local
4842810,Urban Local
4842813,Urban Local
4842815,Urban Minor Arterial
4842823,Urban Local
4842826,Urban Collector
4842827,Urban Local
4842848,Urban Local
4842849,Urban Local
4842852,Urban Collector
4842853,Urban Local
4842901,Urban Minor Arterial
4842910,Urban Local
4842911,Urban Local
4842912,Urban Collector
4842913,Urban Collector
4842914,Urban Local
4842934,Urban Collector
4842935,Urban Local
4842942,Urban Local
4842943,Urban Local
4842955,Urban Collector
4843002,Rural Local
4843016,Urban Other Connecting Link Principal Arterial
4843021,Urban Collector
4843024,Urban Local
4843047,Rural Local
4843050,Urban Local
4843114,Rural Local
4843158,Rural Local
4843236,Rural Local
4843239,Rural Local
4843296,Rural Local
4843509,Rural Local
4843524,Rural Local
4843593,Rural Local
4843594,Urban Collector
4843595,Rural Local
4843598,Urban Collector
4843602,Urban Collector
4843606,Urban Minor Arterial
4843614,Urban Collector
4843619,Urban Minor Arterial
4843783,Urban Local
4843836,Urban Local
4843890,Urban Local
4843915,Urban Local
4843936,Rural Local
4843976,Rural Local
4844021,Rural Local
4844040,Urban Local
4844110,Urban Local
4844116,Urban Local
4844151,Urban Local
4844152,Urban Local
4844178,Urban Local
4844202,Urban Local
4844203,Urban Local
4844282,Urban Local
4844283,Urban Collector
4844307,Urban Local
4844399,Rural Minor Arterial
4844400,Rural Local
4844995,Urban Local
4844996,Urban Local
4845107,Urban Local
4845115,Urban Local
4845118,Urban Local
4845119,Urban Local
4845125,Rural Local
4845126,Rural Local
4845136,Urban Local
4845149,Rural Minor Arterial
4845224,Rural Local
4845225,Rural Major Collector
4845243,Urban Local
4845303,Urban Local
4845305,Urban Local
4845308,Urban Collector
4845394,Urban Local
4845464,Urban Local
4845465,Urban Local
4845495,Urban Local
4845510,Urban Local
4845511,Urban Local
4845635,Urban Local
4845647,Urban Local
4845648,Urban Local
4845730,Urban Local
4845772,Urban Local
4845776,Urban Local
4845784,Urban Local
4845785,Urban Local
4845786,Urban Local
4845789,Rural Minor Arterial
4845790,Rural Local
4845825,Urban Local
4845826,Urban Local
4845831,Urban Local
4845872,Urban Local
4845873,Urban Local
4845886,Urban Local
4845903,Urban Local
4845904,Urban Local
4845911,Urban Local
4845912,Urban Collector
4845928,Urban Local
4845937,Urban Local
4845994,Urban Local
4845995,Urban Local
4846013,Urban Local
4846061,Urban Local
4846063,Urban Local
4846068,Urban Local
4846109,Urban Local
4846121,Urban Local
4846178,Urban Local
4846249,Rural Local
4846252,Rural Local
4846265,Rural Local
4846266,Urban Local
4846268,Urban Local
4846269,Urban Local
4846271,Urban Local
4846292,Rural Local
4846293,Rural Minor Arterial
4846294,Rural Local
4846329,Urban Collector
4846330,Rural Local
4846331,Rural Local
4846363,Rural Local
4846364,Rural Local
4846427,Rural Local
4846435,Rural Local
4846437,Rural Local
4846446,Rural Local
4846457,Rural Local
4846499,Rural Local
4846502,Rural Local
4846545,Rural Local
4846549,Rural Local
4846558,Rural Local
4846576,Rural Local
4846578,Rural Local
4846581,Rural Local
4846682,Rural Local
4846711,Rural Local
4846714,Rural Local
4846879,Rural Local
4846881,Rural Local
4846933,Rural Minor Arterial
4846947,Rural Local
4847034,Rural Minor Arterial
4847035,Rural Local
4847056,Rural Local
4847092,Rural Local
4847636,Rural Local
4848720,Urban Minor Arterial
4848721,Urban Minor Arterial
4848722,Urban Minor Arterial
4848723,Urban Minor Arterial
4848802,Rural Local
4848803,Rural Local
4848804,Rural Local
4848805,Rural Local
4848806,Rural Local
4848807,Rural Local
4848808,Rural Local
4848809,Rural Local
4848810,Rural Local
4848811,Rural Local
4848812,Rural Major Collector
4848813,Rural Local
4848814,Rural Major Collector
4848815,Rural Local
4848816,Rural Major Collector
4848817,Rural Major Collector
4848818,Rural Local
4848819,Rural Major Collector
4848820,Rural Major Collector
4848821,Rural Local
4848822,Rural Local
4848823,Rural Local
4848824,Rural Local
4848826,Rural Local
4848827,Rural Local
4848828,Rural Local
4848829,Rural Local
4848830,Rural Minor Arterial
4848831,Rural Minor Arterial
4848834,Rural Local
4848838,Rural Local
4848839,Rural Local
4848840,Rural Local
4848841,Rural Local
4848842,Rural Local
4848843,Rural Local
4848844,Rural Local
4848922,Rural Local
4849498,Urban Local
4849499,Urban Local
4849500,Urban Local
4849506,Urban Local
4849507,Urban Local
4849510,Urban Local
4849511,Urban Other Connecting Link Principal Arterial
4849515,Urban Collector
4849516,Urban Collector
4849517,Urban Collector
4849518,Urban Minor Arterial
4849520,Urban Other Connecting Link Principal Arterial
4849521,Urban Local
4849522,Urban Minor Arterial
4849523,Urban Minor Arterial
4849526,Urban Collector
4849530,Urban Local
4849531,Urban Local
4849532,Urban Local
4849533,Urban Local
4849534,Urban Local
4849535,Urban Local
4849536,Urban Collector
4849537,Urban Collector
4849538,Urban Local
4849539,Urban Local
4849540,Urban Local
4849541,Urban Local
4849544,Urban Local
4849545,Urban Local
4849546,Urban Local
4849547,Urban Local
4849548,Urban Local
4849549,Urban Local
4849550,Urban Local
4849551,Urban Local
4849552,Urban Local
4849553,Urban Local
4849554,Urban Local
4850615,Urban Local
4850616,Urban Local
4850718,Urban Collector
4850719,Urban Collector
4850723,Urban Minor Arterial
4850725,Rural Local
4850726,Urban Local
4850727,Urban Local
4850728,Urban Local
4850732,Urban Minor Arterial
4850733,Urban Local
4850734,Urban Local
4850735,Urban Local
4850736,Urban Local
4850737,Urban Local
4850738,Urban Local
4850739,Urban Minor Arterial
4850741,Urban Local
4850742,Urban Local
4850743,Urban Local
4850744,Urban Local
4850745,Urban Local
4850749,Urban Local
4850751,Urban Local
4850755,Urban Local
4850756,Urban Local
4850757,Urban Local
4850758,Urban Collector
4850759,Urban Collector
4850760,Urban Local
4850761,Urban Local
4850762,Urban Local
4850763,Urban Local
4850765,Urban Local
4850766,Urban Local
4850767,Urban Local
4850768,Urban Local
4850771,Urban Local
4850772,Urban Local
4850773,Urban Local
4850774,Urban Local
4850777,Urban Local
4850778,Urban Local
4850779,Urban Local
4850780,Urban Local
4850781,Urban Local
4850782,Urban Local
4850789,Rural Local
4850790,Rural Local
4850791,Rural Local
4850792,Rural Local
4850793,Rural Local
4850794,Rural Local
4850795,Rural Local
4850796,Rural Local
4850797,Rural Local
4850798,Rural Local
4850799,Rural Local
4850800,Rural Local
4850801,Rural Local
4850803,Rural Local
4850804,Rural Local
4850806,Rural Local
4850811,Rural Local
4850812,Rural Local
4850813,Rural Minor Collector
4850814,Rural Minor Collector
4850816,Urban Local
4850817,Rural Local
4850819,Urban Local
4850931,Urban Local
4850932,Urban Local
4850933,Urban Local
4850934,Urban Local
4850936,Urban Local
4850937,Urban Local
4850938,Urban Local
4850939,Urban Local
4850940,Urban Local
4850942,Urban Local
4850944,Urban Local
4850945,Urban Local
4850946,Urban Local
4850947,Urban Local
4850948,Urban Local
4850949,Urban Local
4850950,Urban Local
4850951,Urban Local
4850952,Urban Local
4850953,Urban Local
4850955,Urban Local
4850957,Urban Local
4851136,Urban Local
4851137,Urban Local
4851138,Urban Other Connecting Link Principal Arterial
4851139,Urban Collector
4851141,Urban Local
4851144,Urban Collector
4851145,Urban Collector
4851147,Urban Collector
4851148,Urban Collector
4851150,Urban Local
4851151,Urban Local
4851152,Urban Local
4851156,Urban Local
4851157,Urban Local
4851158,Urban Local
4851159,Urban Local
4851160,Urban Local
4851161,Urban Local
4851162,Urban Local
4851163,Urban Collector
4851164,Urban Collector
4851165,Urban Local
4851166,Urban Local
4851167,Urban Collector
4851168,Urban Collector
4851369,Urban Local
4851779,Rural Local
4851781,Urban Local
4851782,Urban Local
4851783,Urban Local
4851784,Urban Local
4851785,Urban Local
4851786,Urban Local
4851787,Urban Local
4851789,Urban Local
4851793,Urban Collector
4851794,Urban Collector
4851795,Urban Local
4851796,Urban Local
4851797,Urban Local
4851814,Urban Local
4851815,Urban Local
4851817,Rural Major Collector
4851818,Urban Local
4851819,Rural Major Collector
4851820,Rural Major Collector
4851823,Urban Local
4851824,Rural Local
4851826,Urban Local
4851827,Urban Local
4851828,Urban Local
4851829,Urban Local
4851830,Urban Local
4851831,Urban Local
4851860,Urban Local
4851867,Urban Collector
4851869,Urban Collector
4851872,Urban Minor Arterial
4851873,Urban Local
4851874,Urban Collector
4851965,Urban Collector
4851966,Urban Collector
4851982,Urban Local
4851984,Urban Local
4851985,Urban Local
4851986,Urban Local
4851987,Urban Local
4851988,Urban Local
4851989,Urban Local
4851990,Urban Local
4851991,Urban Local
4851992,Urban Local
4851993,Urban Local
4851994,Urban Local
4851995,Urban Local
4851996,Urban Local
4851998,Urban Local
4851999,Urban Local
4852000,Urban Local
4852001,Urban Other Connecting Link Principal Arterial
4852002,Urban Other Connecting Link Principal Arterial
4852003,Urban Local
4852016,Urban Local
4852017,Urban Other Connecting Link Principal Arterial
4852020,Urban Other Connecting Link Principal Arterial
4852021,Urban Local
4852029,Urban Local
4852035,Urban Local
4852044,Urban Local
4852048,Urban Local
4852049,Urban Local
4852050,Urban Local
4852055,Urban Collector
4852056,Urban Collector
4852057,Urban Local
4852058,Urban Local
4852059,Urban Local
4852064,Urban Local
4852066,Urban Local
4852201,Urban Minor Arterial
4852203,Urban Minor Arterial
4852204,Rural Local
4852215,Rural Local
4852216,Rural Local
4852235,Rural Local
4852236,Rural Local
4852252,Rural Major Collector
4852258,Rural Local
4852343,Rural Minor Arterial
4852428,Rural Local
4857232,Rural Local
4857235,Rural Local
4857389,Rural Local
4858290,Urban Minor Arterial
4858336,Urban Local
4858338,Urban Local
4858385,Rural Local
4858423,Urban Local
4858426,Urban Local
4858609,Urban Local
4858611,Urban Local
4858653,Urban Local
4858657,Rural Local
4874602,Rural Local
4874603,Rural Local
4874604,Rural Local
4874605,Rural Local
4876806,Urban Other Connecting Link Principal Arterial
4876807,Urban Other Connecting Link Principal Arterial
4876808,Urban Other Connecting Link Principal Arterial
4876809,Urban Other Connecting Link Principal Arterial
4876896,Urban Local
4876897,Urban Local
4876898,Urban Local
4876899,Urban Local
4876902,Urban Local
4876905,Urban Local
4876938,Urban Local
4876939,Urban Local
4876944,Urban Local
4876945,Urban Local
4876948,Urban Local
4876949,Urban Local
4876950,Urban Local
4876951,Urban Local
4876952,Urban Local
4876953,Urban Local
4876954,Urban Local
4876955,Urban Local
4876956,Urban Local
4876957,Urban Local
4884538,Urban Local
4884539,Urban Local
4884540,Urban Local
4884541,Urban Local
4884604,Urban Local
4884605,Urban Local
4884607,Urban Local
4884608,Urban Local
4884625,Urban Local
4884626,Urban Local
4884627,Urban Local
4884628,Urban Local
4884629,Urban Local
4884630,Urban Local
4884663,Urban Minor Arterial
4884664,Urban Minor Arterial
4884665,Urban Minor Arterial
4884666,Urban Minor Arterial
4884667,Urban Local
4884668,Urban Local
4884669,Urban Local
4884670,Urban Local
4884687,Urban Local
4884688,Urban Local
4884691,Urban Local
4884692,Urban Local
4884693,Urban Local
4884694,Urban Local
4884697,Urban Local
4884698,Urban Local
4884699,Urban Local
4884700,Urban Local
4884701,Urban Local
4884702,Urban Local
4884707,Urban Local
4884709,Urban Local
4884711,Urban Local
4884712,Urban Local
4884715,Urban Local
4884716,Urban Local
4884772,Urban Local
4884774,Urban Local
4884776,Urban Local
4884778,Rural Local
4884785,Urban Local
4884786,Urban Local
4884787,Urban Local
4884788,Urban Local
4884793,Urban Local
4884794,Urban Local
4884806,Urban Local
4884808,Urban Local
4885626,Urban Collector
4885627,Urban Collector
4885641,Urban Collector
4885642,Urban Collector
4885643,Urban Collector
4885644,Urban Collector
4885647,Urban Collector
4885648,Urban Collector
4885651,Urban Collector
4885652,Urban Collector
4885653,Urban Collector
4885654,Urban Collector
4885655,Urban Local
4885656,Urban Local
4885680,Urban Local
4885682,Urban Local
4886866,Urban Collector
4886867,Urban Collector
5009928,Rural Minor Arterial
5009929,Rural Minor Arterial
5009930,Rural Minor Arterial
5009931,Rural Minor Arterial
5009932,Rural Local
5009933,Rural Local
5013386,Urban Local
5013387,Urban Local
5015965,Urban Collector
5015966,Urban Collector
5015975,Urban Collector
5015976,Urban Collector
5015977,Urban Local
5015978,Urban Local
5015981,Urban Local
5015982,Urban Local
5015983,Urban Local
5015984,Urban Local
5015991,Urban Collector
5015992,Urban Collector
5015995,Urban Collector
5015996,Urban Collector
5015997,Urban Local
5015998,Urban Local
5016005,Urban Collector
5016006,Urban Collector
5016011,Urban Local
5016012,Urban Local
5016013,Urban Local
5016014,Urban Local
5016019,Urban Local
5016020,Urban Local
5016023,Urban Local
5016024,Urban Local
5016025,Urban Local
5016026,Urban Local
5016027,Urban Local
5016028,Urban Local
5016031,Urban Local
5016032,Urban Local
5016033,Urban Local
5016034,Urban Local
5016035,Urban Local
5016036,Urban Local
5016037,Urban Local
5016038,Urban Local
5016039,Urban Local
5016040,Urban Local
5016041,Urban Local
5016042,Urban Local
5016045,Urban Local
5016046,Urban Local
5016049,Urban Local
5016050,Urban Local
5016051,Urban Local
5016052,Urban Local
5016249,Urban Local
5016250,Urban Local
5016273,Urban Local
5016274,Urban Local
5016277,Urban Local
5016278,Urban Local
5016279,Urban Local
5016280,Urban Local
5016283,Urban Local
5016284,Urban Local
5016285,Urban Local
5016286,Urban Local
5016293,Urban Local
5016294,Urban Local
5016295,Urban Local
5016296,Urban Local
5016333,Urban Local
5016336,Urban Local
5016337,Urban Local
5016338,Urban Local
5016349,Urban Local
5016350,Urban Local
5016351,Urban Local
5016352,Urban Local
5016353,Urban Local
5016354,Urban Local
5016355,Urban Collector
5016358,Urban Collector
5016359,Urban Local
5016360,Urban Local
5016361,Urban Local
5016362,Urban Local
5016365,Urban Local
5016366,Urban Local
5016379,Urban Local
5016380,Urban Local
5016905,Urban Collector
5016906,Urban Collector
5027988,Urban Local
5027989,Urban Local
5027996,Urban Local
5027997,Urban Local
5027998,Urban Local
5027999,Urban Local
5028000,Urban Local
5028001,Urban Local
5028002,Urban Local
5028003,Urban Local
5028004,Urban Local
5028005,Urban Local
5028006,Urban Local
5028007,Urban Local
5028008,Urban Local
5028009,Urban Local
5028010,Urban Local
5028011,Urban Local
5028012,Urban Local
5028013,Urban Local
5032284,Rural Local
5032285,Rural Local
5032286,Rural Local
5032287,Rural Local
5035654,Urban Local
5035655,Urban Local
5035680,Urban Local
5035681,Urban Local
5035712,Urban Local
5035713,Urban Local
5035753,Urban Local
5035754,Urban Local
5035756,Urban Local
5035757,Urban Local
5036164,Urban Minor Arterial
5036165,Urban Minor Arterial
5036166,Urban Minor Arterial
5036167,Urban Minor Arterial
5036588,Urban Local
5036589,Urban Local
5036590,Urban Local
5036591,Urban Local
5036592,Urban Local
5036593,Urban Local
5036608,Urban Local
5036609,Urban Local
5036610,Urban Local
5036611,Urban Local
5036612,Urban Local
5036613,Urban Local
5036618,Urban Local
5036619,Urban Local
5036626,Urban Local
5036627,Urban Local
5036636,Urban Local
5036637,Urban Local
5036642,Urban Local
5036643,Urban Local
5036650,Urban Local
5036651,Urban Local
5036652,Urban Local
5036653,Urban Local
5036686,Urban Local
5036687,Urban Local
5036714,Urban Local
5036715,Urban Local
5036720,Urban Minor Arterial
5036721,Urban Minor Arterial
5036722,Urban Minor Arterial
5036723,Urban Minor Arterial
5036724,Urban Minor Arterial
5036725,Urban Minor Arterial
5038688,Urban Local
5038689,Urban Local
5038708,Urban Local
5038709,Urban Local
5038710,Urban Local
5038711,Urban Local
5038712,Urban Local
5038713,Urban Local
5038722,Urban Local
5038723,Urban Local
5038732,Urban Local
5038733,Urban Local
5038736,Urban Local
5038737,Urban Local
5040836,Urban Local
5040837,Urban Local
5040838,Urban Collector
5040839,Urban Collector
5049296,Urban Local
5049297,Urban Local
5049298,Urban Local
5049299,Urban Local
5049306,Urban Local
5049307,Urban Local
5049320,Urban Local
5049321,Urban Local
5049322,Urban Local
5049323,Urban Local
5049324,Urban Local
5049325,Urban Local
5049326,Urban Collector
5049329,Urban Collector
5049334,Urban Local
5049335,Urban Local
5061075,Urban Local
5061076,Urban Local
5061077,Urban Local
5061078,Urban Local
5061129,Urban Local
5061130,Urban Local
5061131,Urban Local
5061132,Urban Local
5063869,Urban Collector
5063870,Urban Collector
5063950,Urban Collector
5063951,Urban Collector
5063952,Urban Local
5063953,Urban Local
5064004,Urban Local
5064005,Urban Local
5064028,Rural Local
5064029,Rural Local
5064055,Urban Local
5064056,Urban Local
5064071,Urban Collector
5064072,Urban Collector
5064102,Urban Local
5064103,Urban Local
5064114,Urban Local
5064115,Urban Local
5064179,Urban Local
5064180,Urban Local
5064245,Urban Other Connecting Link Principal Arterial
5064246,Urban Other Connecting Link Principal Arterial
5064362,Rural Local
5064363,Rural Local
5064426,Urban Local
5064427,Urban Local
5064444,Urban Other Connecting Link Principal Arterial
5064445,Urban Other Connecting Link Principal Arterial
5064458,Urban Collector
5064459,Urban Collector
5064487,Urban Other Connecting Link Principal Arterial
5064488,Urban Other Connecting Link Principal Arterial
5064493,Urban Other Connecting Link Principal Arterial
5064494,Urban Other Connecting Link Principal Arterial
5064567,Urban Local
5064568,Urban Local
5064615,Urban Local
5064616,Urban Local
5064635,Rural Local
5064636,Rural Local
5064637,Urban Local
5064638,Urban Local
5064728,Urban Local
5064729,Urban Local
5064764,Urban Local
5064765,Urban Local
5064819,Urban Collector
5064820,Urban Collector
5064875,Urban Local
5064876,Urban Local
5064925,Urban Other Connecting Link Principal Arterial
5064926,Urban Other Connecting Link Principal Arterial
5064986,Urban Local
5064987,Urban Local
5077160,Urban Local
5077161,Urban Local
5077162,Urban Local
5077163,Urban Local
5077164,Urban Local
5077165,Urban Local
5077166,Urban Local
5077167,Urban Local
5077168,Urban Local
5077169,Urban Local
5077170,Urban Local
5077171,Urban Local
5077172,Urban Local
5077173,Urban Local
5077176,Urban Local
5077177,Urban Local
5077178,Urban Local
5077179,Urban Local
5084388,Urban Other Connecting Link Principal Arterial
5084389,Urban Other Connecting Link Principal Arterial
5091458,Urban Other Connecting Link Principal Arterial
5091459,Urban Other Connecting Link Principal Arterial
5091460,Urban Other Connecting Link Principal Arterial
5091461,Urban Other Connecting Link Principal Arterial
5091462,Urban Local
5091463,Urban Local
5091482,Rural Local
5091483,Rural Local
5091484,Rural Local
5091485,Rural Local
5091494,Rural Local
5091495,Rural Local
5091498,Urban Local
5091499,Urban Local
5091550,Urban Local
5091551,Urban Local
5091552,Urban Local
5091553,Urban Local
5091568,Urban Local
5091569,Urban Local
5091570,Urban Local
5091571,Urban Local
5091572,Urban Collector
5091573,Urban Collector
5091574,Urban Collector
5091575,Urban Collector
5091576,Urban Local
5091577,Urban Local
5092939,Urban Local
5092940,Urban Local
5092941,Urban Local
5092942,Urban Local
5092963,Urban Local
5092964,Urban Local
5093009,Urban Collector
5093010,Urban Collector
5093011,Urban Collector
5093012,Urban Collector
5098599,Urban Other Connecting Link Principal Arterial
5098600,Urban Other Connecting Link Principal Arterial
5098637,Urban Collector
5098638,Urban Collector
5098640,Urban Minor Arterial
5098641,Urban Minor Arterial
5098646,Urban Minor Arterial
5098647,Urban Minor Arterial
5098668,Urban Local
5098669,Urban Local
5098673,Urban Local
5098676,Rural Local
5098683,Urban Local
5098684,Urban Local
5098691,Urban Minor Arterial
5098692,Urban Other Connecting Link Principal Arterial
5098693,Urban Other Connecting Link Principal Arterial
5098694,Urban Minor Arterial
5098703,Urban Local
5098706,Urban Local
5099314,Rural Local
5099315,Rural Local
5099316,Urban Local
5099317,Urban Local
5099318,Urban Local
5099319,Urban Local
5099322,Urban Local
5099323,Urban Local
5100562,Urban Local
5100563,Urban Local
5110727,Urban Local
5110730,Urban Local
5110731,Urban Local
5110732,Urban Local
5110735,Rural Local
5110736,Rural Local
5110737,Rural Local
5110738,Rural Local
5110798,Urban Local
5114618,Urban Local
5114619,Urban Local
5114644,Rural Local
5114645,Rural Local
5118900,Urban Collector
5118901,Urban Collector
5120282,Urban Minor Arterial
5120283,Urban Minor Arterial
5120284,Urban Minor Arterial
5120285,Urban Minor Arterial
5120288,Urban Collector
5120289,Urban Collector
5120290,Urban Collector
5120291,Urban Collector
5121374,Urban Collector
5121375,Urban Collector
5121648,Urban Collector
5121649,Urban Collector
5125996,Urban Local
5125997,Urban Local
5125998,Urban Local
5125999,Urban Local
5126000,Urban Local
5126001,Urban Local
