intersection_1,1663162_1,1663162_3
intersection_2,1663162_1,1663162_2
intersection_3,1663162_2,1663162_3
intersection_4,1663162_2,1663162_1
intersection_5,1663162_3,1663162_1
intersection_6,1663162_3,1663162_2
intersection_7,1662764_3,1662764_2
intersection_8,1662764_3,1662764_1
intersection_9,1662764_1,1662764_2
intersection_10,1662764_1,1662764_3
intersection_11,1662764_2,1662764_3
intersection_12,1662764_2,1662764_1
intersection_13,1661851_3,1661851_1
intersection_14,1661851_3,1661851_2
intersection_15,1661851_1,1661851_2
intersection_16,1661851_1,1661851_3
intersection_17,1661851_2,1661851_1
intersection_18,1661851_2,1661851_3
intersection_19,10691_1,10691_2
intersection_20,10691_2,10691_1
intersection_21,1667020_3,1667020_1
intersection_22,1667020_3,1667020_2
intersection_23,1667020_1,1667020_2
intersection_24,1667020_1,1667020_3
intersection_25,1667020_2,1667020_1
intersection_26,1667020_2,1667020_3
intersection_27,1662023_1,1662023_2
intersection_28,1662023_1,1662023_3
intersection_29,1662023_2,1662023_1
intersection_30,1662023_2,1662023_3
intersection_31,1662023_3,1662023_2
intersection_32,1662023_3,1662023_1
intersection_33,1662477_2,1662477_3
intersection_34,1662477_2,1662477_1
intersection_35,1662477_3,1662477_2
intersection_36,1662477_3,1662477_1
intersection_37,1662477_1,1662477_2
intersection_38,1662477_1,1662477_3
intersection_39,1661620_1,1661620_3
intersection_40,1661620_1,1661620_2
intersection_41,1661620_3,1661620_1
intersection_42,1661620_3,1661620_2
intersection_43,1661620_2,1661620_3
intersection_44,1661620_2,1661620_1
intersection_45,1665116_1,1665116_3
intersection_46,1665116_1,1665116_2
intersection_47,1665116_3,1665116_1
intersection_48,1665116_3,1665116_2
intersection_49,1665116_2,1665116_3
intersection_50,1665116_2,1665116_1
intersection_51,1662204_3,1662204_1
intersection_52,1662204_3,1662204_2
intersection_53,1662204_2,1662204_1
intersection_54,1662204_2,1662204_3
intersection_55,1662204_1,1662204_3
intersection_56,1662204_1,1662204_2
intersection_57,1661868_3,1661868_2
intersection_58,1661868_3,1661868_1
intersection_59,1661868_1,1661868_2
intersection_60,1661868_1,1661868_3
intersection_61,1661868_2,1661868_3
intersection_62,1661868_2,1661868_1
intersection_63,1665735_3,1665735_2
intersection_64,1665735_3,1665735_1
intersection_65,1665735_2,1665735_1
intersection_66,1665735_2,1665735_3
intersection_67,1665735_1,1665735_2
intersection_68,1665735_1,1665735_3
intersection_69,2041417_3,2041417_2
intersection_70,2041417_3,2041417_1
intersection_71,2041417_3,2041417_4
intersection_72,2041417_2,2041417_3
intersection_73,2041417_2,2041417_1
intersection_74,2041417_2,2041417_4
intersection_75,2041417_1,2041417_3
intersection_76,2041417_1,2041417_2
intersection_77,2041417_1,2041417_4
intersection_78,2041417_4,2041417_3
intersection_79,2041417_4,2041417_2
intersection_80,2041417_4,2041417_1
intersection_81,1661882_3,1661882_1
intersection_82,1661882_3,1661882_2
intersection_83,1661882_1,1661882_3
intersection_84,1661882_1,1661882_2
intersection_85,1661882_2,1661882_3
intersection_86,1661882_2,1661882_1
intersection_87,1662961_1,1662961_3
intersection_88,1662961_1,1662961_2
intersection_89,1662961_3,1662961_2
intersection_90,1662961_3,1662961_1
intersection_91,1662961_2,1662961_3
intersection_92,1662961_2,1662961_1
intersection_93,1663228_3,1663228_2
intersection_94,1663228_3,1663228_1
intersection_95,1663228_1,1663228_2
intersection_96,1663228_1,1663228_3
intersection_97,1663228_2,1663228_3
intersection_98,1663228_2,1663228_1
intersection_99,1661668_4,1661668_1
intersection_100,1661668_4,1661668_2
intersection_101,1661668_4,1661668_3
intersection_102,1661668_2,1661668_1
intersection_103,1661668_2,1661668_4
intersection_104,1661668_2,1661668_3
intersection_105,1661668_1,1661668_4
intersection_106,1661668_1,1661668_2
intersection_107,1661668_1,1661668_3
intersection_108,1661668_3,1661668_1
intersection_109,1661668_3,1661668_4
intersection_110,1661668_3,1661668_2
intersection_111,1663361_3,1663361_1
intersection_112,1663361_3,1663361_2
intersection_113,1663361_1,1663361_2
intersection_114,1663361_1,1663361_3
intersection_115,1663361_2,1663361_1
intersection_116,1663361_2,1663361_3
intersection_117,1663646_1,1663646_3
intersection_118,1663646_1,1663646_2
intersection_119,1663646_3,1663646_2
intersection_120,1663646_3,1663646_1
intersection_121,1663646_2,1663646_3
intersection_122,1663646_2,1663646_1
intersection_123,1662902_4,1662902_1
intersection_124,1662902_4,1662902_2
intersection_125,1662902_4,1662902_3
intersection_126,1662902_1,1662902_4
intersection_127,1662902_1,1662902_2
intersection_128,1662902_1,1662902_3
intersection_129,1662902_2,1662902_1
intersection_130,1662902_2,1662902_4
intersection_131,1662902_2,1662902_3
intersection_132,1662902_3,1662902_1
intersection_133,1662902_3,1662902_4
intersection_134,1662902_3,1662902_2
intersection_135,1662040_3,1662040_1
intersection_136,1662040_3,1662040_2
intersection_137,1662040_1,1662040_2
intersection_138,1662040_1,1662040_3
intersection_139,1662040_2,1662040_1
intersection_140,1662040_2,1662040_3
intersection_141,1666947_2,1666947_1
intersection_142,1666947_2,1666947_3
intersection_143,1666947_1,1666947_3
intersection_144,1666947_1,1666947_2
intersection_145,1666947_3,1666947_1
intersection_146,1666947_3,1666947_2
intersection_147,1662701_2,1662701_1
intersection_148,1662701_2,1662701_3
intersection_149,1662701_1,1662701_3
intersection_150,1662701_1,1662701_2
intersection_151,1662701_3,1662701_1
intersection_152,1662701_3,1662701_2
4843594,1665118_3,1665116_3
4822208,1665116_3,1665118_3
intersection_153,1665118_1,1665118_2
intersection_154,1665118_1,1665118_3
intersection_155,1665118_2,1665118_1
intersection_156,1665118_2,1665118_3
intersection_157,1665118_3,1665118_1
intersection_158,1665118_3,1665118_2
intersection_159,1664255_1,1664255_2
intersection_160,1664255_2,1664255_1
intersection_161,1662200_1,1662200_2
intersection_162,1662200_1,1662200_3
