,FROM,TO,TIME
216,1662351,1662555,46.48
217,1662465,1662509,13.058823529411764
218,1662510,1662514,48.56
219,1662349,1662514,31.666666666666668
220,1662512,1662457,9.25
221,1662362,1662565,44.36
222,1662555,1662565,16.88
223,1662382,1662534,25.075
224,1662534,1662432,15.85
225,1662556,1662503,7.925
226,1662320,1662602,61.24
227,1662411,1662574,25.075
228,1662602,1662615,10.56
229,1662635,1662606,8.44
230,1662602,1662635,4.24
231,1662506,1662563,11.875
232,1662536,1662569,8.44
233,1662589,1662521,7.925
234,1662563,1662589,7.925
235,1662589,1662596,6.6
236,1662453,1662596,33.8
237,1662439,1662582,29.05
238,1662407,1662409,75.25
239,1662555,1662682,23.24
240,1662653,1662556,9.25
241,1662604,1662591,5.275
242,1662569,1662604,5.266666666666667
243,1662563,1662625,19.8
244,1662582,1662631,6.6
245,1662635,1662699,14.8
246,1662556,1662672,22.45
247,1662699,1662722,4.24
248,1662707,1662674,7.033333333333333
249,1662710,1662709,7.033333333333333
250,1662707,1662710,12.333333333333334
251,1662713,1662707,21.133333333333333
252,1662653,1662691,10.55
253,1662679,1662589,7.925
254,1662534,1662701,19.8
255,1662604,1662681,6.6
256,1662565,1662736,31.68
257,1662701,1662696,7.925
258,1662625,1662694,7.925
259,1662694,1662679,25.075
260,1662721,1662653,10.55
261,1662698,1662694,3.95
262,1662509,1662715,48.0
263,1662701,1662734,6.6
264,1662596,1662731,15.85
265,1662679,1662732,7.925
266,1662731,1662732,7.925
267,1662735,1662731,12.68
268,1662453,1662735,67.6
269,1662725,1662728,5.275
270,1662681,1662728,7.925
271,1662750,1662735,17.15
272,1662728,1662738,10.55
273,1662681,1662738,15.85
274,1662764,1662721,7.925
275,1662752,1662715,12.68
276,1662514,1662755,44.36
277,1662694,1662753,10.56
278,1662732,1662753,42.24
279,1662738,1662749,5.275
280,1662704,1662749,9.25
281,1662704,1662751,14.678260869565218
282,1662751,1662638,19.8
283,1662756,1662698,15.85
284,1662753,1662756,23.24
285,1662756,1662752,14.8
286,1662749,1662769,5.275
287,1662728,1662771,6.6
288,1662722,1662823,31.68
289,1662734,1662764,35.65
290,1662710,1662815,24.633333333333333
291,1662715,1662794,32.654545454545456
292,1662806,1662764,18.475
293,1662755,1662812,10.55
294,1662826,1662778,11.733333333333333
295,1662381,1662826,91.70526315789475
296,1662752,1662816,33.8
297,1662734,1662839,26.4
298,1662794,1662835,30.440993788819874
299,1662837,1662813,16.964285714285715
300,1662843,1662837,11.875
301,1662835,1662843,23.381560283687946
302,1662899,1662860,6.6
303,1662902,1662899,26.4
304,1662813,1662887,17.6
305,1662899,1662901,7.925
306,1662914,1662835,20.114285714285714
307,1662914,1662922,9.25
308,1662843,1662933,24.152380952380952
309,1662922,1662933,7.925
310,1662964,1662902,12.333333333333334
311,1662933,1662944,16.88
312,1662942,1662957,9.25
313,1662961,1662914,6.6
314,1662961,1662942,19.0
315,1662957,1662967,7.925
316,1662943,1662967,2.65
317,1663012,1662909,15.85
318,1663012,1663013,3.95
319,1663014,1663012,12.68
320,1663014,2034247,20.114285714285714
321,1663010,1662961,7.925
322,1663062,1662707,88.0
323,1663010,1663032,48.56
324,1662967,1663032,21.12
325,1663086,1662975,33.43333333333333
326,1663062,1663086,14.066666666666666
327,1662887,1663059,31.666666666666668
328,1663072,1663010,10.56
329,1663076,1663079,29.56
330,1662945,1663079,38.0
331,1663032,1663078,6.6
332,1663078,1663076,25.075
333,1663072,1663081,31.68
334,1663081,1663078,7.925
335,1663083,1663072,14.8
336,1662933,1663090,34.20952380952381
337,1663090,1663083,7.925
338,1663059,1663090,54.92
339,1663106,1663014,16.88
340,1663081,1663133,7.925
341,1663139,1663076,9.25
342,1663144,1663139,25.36
343,1663079,1663144,14.8
344,1663078,1663143,7.925
345,1663139,1663143,25.075
346,1663149,1663144,27.44
347,1663079,1663149,46.651162790697676
348,1663133,1663151,3.95
349,1663160,1663012,27.44
350,1663164,1663160,7.925
351,1663164,1663106,12.68
352,1663126,1663162,5.275
353,1663133,1663162,3.95
354,1663180,1662964,78.16
355,1663210,1662899,65.48
356,1663212,1663210,30.35
357,1663203,1663139,7.925
358,1663203,1663208,27.44
359,1663144,1663208,12.68
360,1663143,1663207,6.6
361,1663208,1663218,18.475
362,1663149,1663218,7.925
363,1663218,1663224,16.88
364,1663160,1663224,31.68
365,1663162,1663216,7.925
366,1663216,1663207,29.56
367,1663224,1663227,13.2
368,1663227,1663160,7.925
369,1663227,1663229,6.6
370,1663229,1663164,7.925
371,1663228,1663072,35.2
372,1663216,1663228,6.6
373,10668,1663062,58.06666666666667
374,1662430,1663343,172.46666666666667
375,1663291,1663203,11.875
376,1663294,1663291,25.40740740740741
377,1663208,1663294,19.0
378,1663291,1663292,26.87272727272727
379,1663292,1663293,6.6
380,1663294,1663299,17.15
381,1663218,1663299,11.875
382,1663299,1663301,11.875
383,1663224,1663301,10.55
384,1663366,10668,5.275
385,1663301,1663314,22.45
386,1663314,1663229,18.333333333333336
387,1663314,1663319,7.925
388,1663319,15381,9.25
389,1663276,1663358,8.8
390,1663059,1663352,52.8
391,1663351,1663352,25.725
392,1663361,1663351,31.675
393,1663352,1663355,23.24
394,1663378,1663308,7.925
395,1663372,1663291,7.925
396,1663361,1663374,11.875
397,1663344,1663374,7.672727272727273
398,1663375,1663292,14.8
399,1663375,1663372,18.475
400,1663372,1663377,33.0
401,1663299,1663377,14.8
402,1663377,1663383,11.875
403,1663301,1663383,9.25
404,1663383,1663390,21.125
405,1663390,1663314,10.057142857142857
406,1663390,1663395,7.925
407,1663319,1663395,12.076190476190476
408,1663422,1663390,6.32
409,1663395,1663422,10.55
410,1663374,1663430,15.345454545454546
411,1663438,1663361,19.0
412,1663439,1663351,11.875
413,1663439,1663438,23.75
414,1663444,1663372,7.925
415,1663352,1663440,9.25
416,1663440,1663439,18.475
417,1663444,1663446,7.925
418,1663450,1663444,23.75
419,1663449,1663375,7.925
