RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4819408,1662206,1662181,211,52.7999992
4819410,1662209,1662154,264,52.7999992
4819412,1662208,1662132,686,52.7999992
4819421,1662139,1662166,264,52.7999992
4819422,1662044,1662166,686,52.7999992
4819426,1662225,1662164,317,52.7999992
4819431,1662186,1662090,475,52.7999992
4819434,1662191,1662186,317,52.7999992
4819437,1662239,1662208,264,52.7999992
4819438,1662164,1662239,634,52.7999992
4819440,1662244,1662161,950,52.7999992
4819441,1662251,1662239,158,52.7999992
4819446,1662165,1662252,686,52.7999992
4819447,1662252,1662161,581,52.7999992
4819449,1662224,1662186,211,52.7999992
4819450,1662090,1662224,792,52.7999992
4819452,1662220,1662217,898,52.7999992
4819453,1662166,1662220,317,52.7999992
4819456,1662187,1662270,845,52.7999992
4819457,1662270,1662246,528,52.7999992
4819458,10503,1662309,792,52.7999992
4819461,1662185,1662281,634,52.7999992
4819462,1661833,1662337,2693,52.7999992
4819463,1662337,1662176,2165,52.7999992
4819464,1662320,1662309,581,52.7999992
4819465,1662227,1662254,264,52.7999992
4819466,1662224,1662254,581,52.7999992
4819467,1662259,1662224,317,52.7999992
4819468,1662230,1662259,422,52.7999992
4819475,1662281,1662313,264,52.7999992
4819476,1662314,1662305,370,52.7999992
4819477,1662314,1662241,370,52.7999992
4819478,1662351,1662320,1056,52.7999992
4819480,1661743,1662385,6811,52.7999992
4819482,1662365,1662337,2693,52.7999992
4819483,1662291,1662276,370,52.7999992
4819484,1662242,1662291,264,52.7999992
4819485,1662293,1662291,370,52.7999992
4819486,1662238,1662293,317,52.7999992
4819487,1662254,1662293,634,52.7999992
4819488,1662353,1662244,792,52.7999992
4819489,1662324,1662314,422,52.7999992
4819490,1662281,1662324,211,52.7999992
4819495,1662343,1662187,845,52.7999992
4819496,1662343,1662270,634,52.7999992
4819497,1662362,1662351,634,52.7999992
4819502,1662230,1662308,422,52.7999992
4819507,1662217,1662303,422,52.7999992
4819515,1662349,10523,1267,52.7999992
4819519,10523,1662358,792,52.7999992
4819523,1662382,1662381,1214,52.7999992
4819524,1662386,1662382,1426,52.7999992
4819527,1662388,1662386,475,52.7999992
4819528,1662290,1662407,1954,52.7999992
4819529,1662409,1662343,370,52.7999992
4819530,1662407,1662409,634,52.7999992
4819532,1662409,1662411,898,52.7999992
4819533,1662324,1662410,370,52.7999992
4819534,1662411,1662410,264,52.7999992
4819535,1662406,1662342,370,52.7999992
4819536,1662406,1662404,211,52.7999992
4819537,1662404,1662403,898,52.7999992
4819540,1662430,1662362,1742,52.7999992
4819544,1662358,1662394,422,52.7999992
4819565,1662303,1662416,950,52.7999992
4819566,1662416,1662220,950,52.7999992
4819572,1662482,1662252,1162,52.7999992
4819575,1662459,1662388,422,52.7999992
4819580,1662459,1662466,211,52.7999992
4819581,1662358,1662453,475,52.7999992
4819586,1662416,1662439,317,52.7999992
4819587,1662429,1662440,264,52.7999992
4819588,1662457,1662453,370,52.7999992
4819598,1662399,1662465,370,52.7999992
4819599,1662394,1662465,739,52.7999992
4819602,1662439,1662460,158,52.7999992
4819603,1662460,1662437,264,52.7999992
4819610,1662503,1662459,317,52.7999992
4819611,1662503,1662427,845,52.7999992
4819612,1662528,1662513,158,52.7999992
4819616,1662440,1662486,528,52.7999992
4819634,1662465,1662506,317,52.7999992
4819635,1662457,1662506,581,52.7999992
4819640,1662351,1662555,1162,52.7999992
4819644,1662465,1662509,370,52.7999992
4819645,1662510,1662514,1214,52.7999992
